Date,Open,High,Low,Close,Adj Close,Volume
2019-05-02,141.910004,142.149994,140.119995,141.279999,127.984383,8835600
2019-05-03,141.289993,142.089996,141.080002,142.009995,128.645645,5281600
2019-05-06,140.250000,142.240005,139.929993,142.089996,128.718155,5818900
2019-05-07,140.820007,141.380005,139.059998,139.970001,126.797668,6606700
2019-05-08,140.199997,140.919998,139.699997,139.789993,126.634575,4667300
2019-05-09,138.949997,139.320007,137.639999,138.729996,125.674355,5604200
2019-05-10,138.429993,139.250000,136.410004,139.050003,125.964226,4771600
2019-05-13,137.850006,138.059998,136.529999,137.199997,124.288322,5560000
2019-05-14,137.039993,137.839996,136.729996,136.820007,123.944122,7179400
2019-05-15,136.899994,137.490005,135.330002,136.910004,124.025642,6429400
2019-05-16,137.389999,139.190002,136.970001,138.210007,125.203285,6857200
2019-05-17,137.000000,139.029999,136.860001,138.610001,125.565628,6915300
2019-05-20,138.610001,138.960007,137.679993,138.419998,125.393517,4771100
2019-05-21,139.119995,139.570007,138.080002,138.119995,125.121750,4859000
2019-05-22,138.350006,138.949997,137.490005,138.759995,125.701508,5456800
2019-05-23,138.500000,139.850006,137.669998,139.789993,126.634575,6951800
2019-05-24,139.500000,139.500000,138.559998,138.850006,126.643745,5473300
2019-05-28,139.000000,140.490005,137.050003,137.070007,125.020187,11919600
2019-05-29,135.889999,135.889999,128.520004,131.330002,119.784798,23247400
2019-05-30,131.440002,132.820007,131.169998,132.110001,120.496231,7360600
2019-05-31,131.520004,132.000000,129.610001,131.149994,119.620605,7811000
2019-06-03,131.500000,132.399994,131.039993,131.440002,119.885132,8434600
2019-06-04,132.600006,134.300003,132.580002,133.729996,121.973808,6648900
2019-06-05,134.699997,135.130005,133.860001,134.380005,122.566689,6860600
2019-06-06,134.899994,137.660004,134.589996,136.679993,124.664474,9115800
2019-06-07,137.589996,139.589996,137.139999,138.550003,126.370071,6533900
2019-06-10,138.600006,139.149994,137.600006,139.020004,126.798752,4994700
2019-06-11,139.679993,140.660004,139.500000,139.779999,127.491951,8230500
2019-06-12,140.300003,142.910004,140.300003,141.679993,129.224930,9216500
2019-06-13,141.720001,141.949997,140.210007,140.710007,128.340195,7500800
2019-06-14,141.229996,141.490005,140.039993,140.089996,127.774719,6548100
2019-06-17,140.000000,140.240005,139.210007,139.440002,127.181847,5562800
2019-06-18,140.559998,140.929993,139.789993,140.229996,127.902367,7122700
2019-06-19,140.009995,140.970001,139.910004,140.449997,128.103073,6393400
2019-06-20,141.250000,142.399994,141.000000,142.210007,129.708344,7335800
2019-06-21,141.460007,142.429993,141.009995,142.089996,129.598892,11272200
2019-06-24,142.419998,143.699997,142.089996,143.059998,130.483643,5894700
2019-06-25,143.270004,144.979996,143.190002,144.240005,131.559906,7517000
2019-06-26,143.850006,143.850006,140.759995,141.850006,129.379990,7674100
2019-06-27,142.229996,142.500000,140.600006,140.690002,128.321945,5233500
